Player,College/Univ
Cam Ward,Miami (FL)
Travis Hunter,Colorado
Abdul Carter,Penn St.
Will Campbell,LSU
Mason Graham,Michigan
Ashton Jeanty,Boise St.
Armand Membou,Missouri
Tetairoa McMillan,Arizona
Kelvin Banks,Texas
Colston Loveland,Michigan
Mykel Williams,Georgia
Tyler Booker,Alabama
Kenneth Grant,Michigan
Tyler Warren,Penn St.
Jalon Walker,Georgia
Walter Nolen,Mississippi
Shemar Stewart,Texas A&M
Grey Zabel,North Dakota St.
Emeka Egbuka,Ohio St.
Jahdae Barron,Texas
Derrick Harmon,Oregon
Omarion Hampton,North Carolina
Matthew Golden,Texas
Donovan Jackson,Ohio St.
Jaxson Dart,Mississippi
James Pearce,Tennessee
Malaki Starks,Georgia
Tyleik Williams,Ohio St.
Josh Conerly,Oregon
Maxwell Hairston,Kentucky
Jihaad Campbell,Alabama
Josh Simmons,Ohio St.
Carson Schwesinger,UCLA
Jayden Higgins,Iowa St.
Nick Emmanwori,South Carolina
Quinshon Judkins,Ohio St.
Jonah Savaiinaea,Arizona
TreVeyon Henderson,Ohio St.
Luther Burden,Missouri
Tyler Shough,Louisville
T.J. Sanders,South Carolina
Mason Taylor,LSU
Alfred Collins,Texas
Donovan Ezeiruaku,Boston Col.
JT Tuimoloau,Ohio St.
Terrance Ferguson,Oregon
Will Johnson,Michigan
Aireontae Ersery,Minnesota
Demetrius Knight,South Carolina
Elijah Arroyo,Miami (FL)
Nic Scourton,Texas A&M
Oluwafemi Oladejo,UCLA
Benjamin Morrison,Notre Dame
Anthony Belton,North Carolina St.
Tre Harris,Mississippi
Ozzy Trapilo,Boston Col.
Tate Ratledge,Georgia
Jack Bech,TCU
Mike Green,Marshall
RJ Harvey,Central Florida
Trey Amos,Mississippi
Shemar Turner,Texas A&M
Omarr Norman-Lott,Tennessee
Andrew Mukuba,Texas
Darius Alexander,Toledo
Ashton Gillotte,Louisville
Harold Fannin,Bowling Green
Darien Porter,Iowa St.
Kyle Williams,Washington St.
Isaac TeSlaa,Arkansas
Vernon Broughton,Texas
Landon Jackson,Arkansas
Azareye'h Thomas,Florida St.
Pat Bryant,Illinois
Nick Martin,Oklahoma St.
Shavon Revel,East Carolina
Princely Umanmielen,Mississippi
Jordan Burch,Oregon
Jaylin Noel,Iowa St.
Justin Walley,Minnesota
Dylan Fairchild,Georgia
Kevin Winston,Penn St.
Kaleb Johnson,Iowa
Jacob Parrish,Kansas St.
Nohl Williams,California
Jamaree Caldwell,Oregon
Savion Williams,TCU
Caleb Ransaw,Tulane
Wyatt Milum,West Virginia
Josaiah Stewart,Michigan
Emery Jones,LSU
Jalen Milroe,Alabama
Jonas Sanker,Virginia
Dillon Gabriel,Oregon
Jared Wilson,Georgia
Xavier Watts,Notre Dame
Jaylin Smith,USC
Caleb Rogers,Texas Tech
Charles Grant,William & Mary
Upton Stout,Western Kentucky
Sai'vion Jones,LSU
Tai Felton,Maryland
Chimere Dike,Florida
Bhayshul Tuten,Virginia Tech
Cam Skattebo,Arizona St.
Craig Woodson,California
Jack Kiser,Notre Dame
Dont'e Thornton,Tennessee
Deone Walker,Kentucky
Arian Smith,Georgia
Ty Robinson,Nebraska
Danny Stutsman,Oklahoma
CJ West,Indiana
Trevor Etienne,Georgia
Cody Simon,Ohio St.
Woody Marks,USC
Jarquez Hunter,Auburn
